YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,4,17,22,16,89,1,20,22.5,0.45333359,0.268048622,29.22359619,19.65413818,0.137071227,0.232988798,-0.125103343,-0.140525665,0.022640741,-0.187516647,-0.395732044
2014,4,18,24.8,17.2,90,1,160,24.9,0.404149425,0.268070651,30.2075592,19.76221619,0.134121222,0.233056952,-0.095180562,-0.140559188,0.047551852,-0.223888004,-0.395591338
2014,4,19,25.8,17.4,88,1,290,25.1,0.354965259,0.354965259,30.40914307,20.21402893,0.131171217,0.131171217,-0.06525778,-0.06525778,0.034196296,-0.260259362,-0.260259362
2014,4,20,24.8,16.5,93,1,140,25.6,0.334851317,0.268114673,30.62626038,20.3253418,0.134986485,0.233193051,-0.067845105,-0.140626117,-0.0221,-0.277957307,-0.395310407
2014,4,21,25.6,16.5,88,1,140,25.2,0.314737375,0.268136666,30.30848083,20.0017334,0.138801752,0.233260997,-0.07043243,-0.140659523,0.059274074,-0.295655251,-0.395170182
2014,4,22,26.2,16.5,88,1,320,25.9,0.294623432,0.268158647,30.78577576,19.14818726,0.14261702,0.233328873,-0.073019756,-0.140692889,0.224996296,-0.313353196,-0.395030117
2014,4,23,24.5,16.4,91,1,180,24.1,0.27450949,0.268180616,31.22348938,18.88994751,0.146432287,0.233396681,-0.075607081,-0.140726216,0.072611111,-0.331051141,-0.394890213
2014,4,24,25.2,17,90,1,290,25.4,0.254395548,0.268202573,31.16852722,20.01207886,0.150247555,0.233464419,-0.078194406,-0.140759504,0.023022222,-0.348749086,-0.394750468
2014,4,25,24,16.5,93,1,160,21.8,0.234281606,0.268224518,30.87493286,18.57476196,0.154062823,0.233532088,-0.080781731,-0.140792752,0.058714815,-0.366447031,-0.394610884
2014,4,26,24.2,17,93,1,360,22.9,0.214167664,0.268246451,31.23458252,19.94222412,0.15787809,0.233599688,-0.083369057,-0.140825962,0.024966667,-0.384144976,-0.394471459
2014,4,27,26.4,16.5,89,1,360,26.6,0.194053722,0.268268372,31.88587341,19.00380859,0.161693358,0.233667219,-0.085956382,-0.140859132,0.175025926,-0.401842921,-0.394332195
2014,4,28,24.8,16.6,88,1,290,24,0.17393978,0.17393978,29.74187622,18.61972961,0.165508626,0.165508626,-0.088543707,-0.088543707,0.048303704,-0.419540865,-0.419540865
2014,4,29,23.8,16,90,1,110,22.8,0.165808991,0.268312178,29.98227844,18.78081665,0.174083198,0.233802074,-0.093728066,-0.140925356,0.027322222,-0.435579684,-0.394054144
2014,4,30,25,16.2,92,2,160,24.8,0.157678202,0.268334063,29.03258667,18.75438843,0.182657771,0.233869399,-0.098912424,-0.140958409,0.093611111,-0.451618502,-0.393915359
